Sample no,Year,barangay,sex,age,disease,cases
1,2017,anos,male,under 1,JO6,8
2,2017,anos,female,under 1,JO6,10
3,2017,anos,male,1-4,JO6,38
4,2017,anos,female,1-4,JO6,37
5,2017,anos,male,5-9,JO6,138
6,2017,anos,female,5-9,JO6,131
7,2017,anos,male,10-14,JO6,36
8,2017,anos,female,10-14,JO6,34
9,2017,anos,male,15-19,JO6,15
10,2017,anos,female,15-19,JO6,22
11,2017,anos,male,20-24,JO6,10
12,2017,anos,female,20-24,JO6,30
13,2017,anos,male,25-29,JO6,11
14,2017,anos,female,25-29,JO6,27
15,2017,anos,male,30-34,JO6,8
16,2017,anos,female,30-34,JO6,28
17,2017,anos,male,35-39,JO6,6
18,2017,anos,female,35-39,JO6,32
19,2017,anos,male,40-44,JO6,11
20,2017,anos,female,40-44,JO6,25
21,2017,anos,male,45-49,JO6,3
22,2017,anos,female,45-49,JO6,9
23,2017,anos,male,50-54,JO6,5
24,2017,anos,female,50-54,JO6,9
25,2017,anos,male,55-59,JO6,2
26,2017,anos,female,55-59,JO6,6
27,2017,anos,male,60-64,JO6,9
28,2017,anos,female,60-64,JO6,8
29,2017,anos,male,65-69,JO6,4
30,2017,anos,female,65-69,JO6,8
31,2017,anos,male,70 Above,JO6,2
32,2017,anos,female,70 Above,JO6,12
33,2017,anos,male,under 1,B34,62
34,2017,anos,female,under 1,B34,114
35,2017,anos,male,1-4,B34,185
36,2017,anos,female,1-4,B34,170
37,2017,anos,male,5-9,B34,22
38,2017,anos,female,5-9,B34,24
39,2017,anos,male,10-14,B34,0
40,2017,anos,female,10-14,B34,0
41,2017,anos,male,15-19,B34,0
42,2017,anos,female,15-19,B34,0
43,2017,anos,male,20-24,B34,0
44,2017,anos,female,20-24,B34,1
45,2017,anos,male,25-29,B34,0
46,2017,anos,female,25-29,B34,0
47,2017,anos,male,30-34,B34,0
48,2017,anos,female,30-34,B34,0
49,2017,anos,male,35-39,B34,0
50,2017,anos,female,35-39,B34,1
51,2017,anos,male,40-44,B34,0
52,2017,anos,female,40-44,B34,0
53,2017,anos,male,45-49,B34,0
54,2017,anos,female,45-49,B34,0
55,2017,anos,male,50-54,B34,0
56,2017,anos,female,50-54,B34,0
57,2017,anos,male,55-59,B34,0
58,2017,anos,female,55-59,B34,0
59,2017,anos,male,60-64,B34,0
60,2017,anos,female,60-64,B34,0
61,2017,anos,male,65-69,B34,1
62,2017,anos,female,65-69,B34,0
63,2017,anos,male,70 Above,B34,0
64,2017,anos,female,70 Above,B34,0
65,2017,anos,male,under 1,I10,0
66,2017,anos,female,under 1,I10,0
67,2017,anos,male,1-4,I10,0
68,2017,anos,female,1-4,I10,0
69,2017,anos,male,5-9,I10,0
70,2017,anos,female,5-9,I10,0
71,2017,anos,male,10-14,I10,0
72,2017,anos,female,10-14,I10,0
73,2017,anos,male,15-19,I10,0
74,2017,anos,female,15-19,I10,0
75,2017,anos,male,20-24,I10,0
76,2017,anos,female,20-24,I10,0
77,2017,anos,male,25-29,I10,0
78,2017,anos,female,25-29,I10,7
79,2017,anos,male,30-34,I10,2
80,2017,anos,female,30-34,I10,9
81,2017,anos,male,35-39,I10,3
82,2017,anos,female,35-39,I10,5
83,2017,anos,male,40-44,I10,8
84,2017,anos,female,40-44,I10,13
85,2017,anos,male,45-49,I10,1
86,2017,anos,female,45-49,I10,9
87,2017,anos,male,50-54,I10,6
88,2017,anos,female,50-54,I10,14
89,2017,anos,male,55-59,I10,13
90,2017,anos,female,55-59,I10,14
91,2017,anos,male,60-64,I10,9
92,2017,anos,female,60-64,I10,10
93,2017,anos,male,65-69,I10,9
94,2017,anos,female,65-69,I10,8
95,2017,anos,male,70 Above,I10,8
96,2017,anos,female,70 Above,I10,5
97,2017,anos,male,under 1,T79,9
98,2017,anos,female,under 1,T79,0
99,2017,anos,male,1-4,T79,15
100,2017,anos,female,1-4,T79,20
101,2017,anos,male,5-9,T79,21
102,2017,anos,female,5-9,T79,14
103,2017,anos,male,10-14,T79,3
